indicator_name,year,index_value
farmland_birds,1970,100.0
farmland_birds,1971,98.6722
farmland_birds,1972,98.0681
farmland_birds,1973,98.2855
farmland_birds,1974,99.6602
farmland_birds,1975,101.7522
farmland_birds,1976,103.2221
farmland_birds,1977,102.9415
farmland_birds,1978,100.511
farmland_birds,1979,96.7488
farmland_birds,1980,92.4486
farmland_birds,1981,87.7001
farmland_birds,1982,82.7876
farmland_birds,1983,78.4648
farmland_birds,1984,74.6008
farmland_birds,1985,70.7825
farmland_birds,1986,67.3656
farmland_birds,1987,65.0352
farmland_birds,1988,64.0069
farmland_birds,1989,63.69
farmland_birds,1990,63.1258
farmland_birds,1991,61.7652
farmland_birds,1992,59.9361
farmland_birds,1993,58.323
farmland_birds,1994,57.4031
farmland_birds,1995,56.928
farmland_birds,1996,56.3233
farmland_birds,1997,55.4426
farmland_birds,1998,54.5642
farmland_birds,1999,54.1245
farmland_birds,2000,54.1562
farmland_birds,2001,54.3287
farmland_birds,2002,54.438
farmland_birds,2003,54.3797
farmland_birds,2004,54.0337
farmland_birds,2005,53.3518
farmland_birds,2006,52.3634
farmland_birds,2007,51.2443
farmland_birds,2008,50.2586
farmland_birds,2009,49.3046
farmland_birds,2010,48.325
farmland_birds,2011,47.3364
farmland_birds,2012,46.3454
farmland_birds,2013,45.5169
farmland_birds,2014,45.2346
farmland_birds,2015,45.2663
generalist_butterflies,1990,110.0
generalist_butterflies,1991,108.0
generalist_butterflies,1992,105.0
generalist_butterflies,1993,103.0
generalist_butterflies,1994,101.0
generalist_butterflies,1995,99.0
generalist_butterflies,1996,97.0
generalist_butterflies,1997,95.0
generalist_butterflies,1998,92.0
generalist_butterflies,1999,90.0
generalist_butterflies,2000,88.0
generalist_butterflies,2001,86.0
generalist_butterflies,2002,84.0
generalist_butterflies,2003,81.0
generalist_butterflies,2004,79.0
generalist_butterflies,2005,77.0
generalist_butterflies,2006,75.0
generalist_butterflies,2007,73.0
generalist_butterflies,2008,71.0
generalist_butterflies,2009,68.0
generalist_butterflies,2010,66.0
generalist_butterflies,2011,64.0
generalist_butterflies,2012,62.0
generalist_butterflies,2013,60.0
generalist_butterflies,2014,58.0
priority_species,1970,100.0
priority_species,1971,92.2
priority_species,1972,86.1
priority_species,1973,81.3
priority_species,1974,77.5
priority_species,1975,74.4
priority_species,1976,71.9
priority_species,1977,69.9
priority_species,1978,68.1
priority_species,1979,66.6
priority_species,1980,65.1
priority_species,1981,63.7
priority_species,1982,62.2
priority_species,1983,60.6
priority_species,1984,58.9
priority_species,1985,57.1
priority_species,1986,55.0
priority_species,1987,52.9
priority_species,1988,50.6
priority_species,1989,48.3
priority_species,1990,45.9
priority_species,1991,43.5
priority_species,1992,41.2
priority_species,1993,38.9
priority_species,1994,36.8
priority_species,1995,34.8
priority_species,1996,32.9
priority_species,1997,31.2
priority_species,1998,29.7
priority_species,1999,28.5
priority_species,2000,27.4
priority_species,2001,26.6
priority_species,2002,26.0
priority_species,2003,25.5
priority_species,2004,25.2
priority_species,2005,25.1
priority_species,2006,25.0
priority_species,2007,25.1
priority_species,2008,25.1
priority_species,2009,25.2
priority_species,2010,25.3
priority_species,2011,25.3
priority_species,2012,25.3
priority_species,2013,25.3
priority_species,2014,25.2
priority_species,2015,25.0
priority_species,2016,24.8
priority_species,2017,24.6
priority_species,2018,24.3
priority_species,2019,24.0
priority_species,2020,23.8
priority_species,2021,23.5
priority_species,2022,23.2
priority_species,2023,22.9
specialist_butterflies,1990,99.0
specialist_butterflies,1991,95.0
specialist_butterflies,1992,91.0
specialist_butterflies,1993,88.0
specialist_butterflies,1994,84.0
specialist_butterflies,1995,80.0
specialist_butterflies,1996,77.0
specialist_butterflies,1997,74.0
specialist_butterflies,1998,70.0
specialist_butterflies,1999,67.0
specialist_butterflies,2000,64.0
specialist_butterflies,2001,62.0
specialist_butterflies,2002,60.0
specialist_butterflies,2003,58.0
specialist_butterflies,2004,56.0
specialist_butterflies,2005,54.0
specialist_butterflies,2006,53.0
specialist_butterflies,2007,51.0
specialist_butterflies,2008,50.0
specialist_butterflies,2009,49.0
specialist_butterflies,2010,47.0
specialist_butterflies,2011,46.0
specialist_butterflies,2012,45.0
specialist_butterflies,2013,44.0
specialist_butterflies,2014,43.0
